id_fakta,id_waktu,id_kecamatan,id_tanah,id_komoditas,id_pupuk,Temperature,Humidity,Moisture,Nitrogen,Potassium,Phosphorus
1,1126,4,5,4,7,26.0,52.0,38.0,37,0,0
2,861,3,3,9,6,29.0,52.0,45.0,12,0,36
3,1130,3,1,2,2,34.0,65.0,62.0,7,9,30
4,1095,2,4,10,5,32.0,62.0,34.0,22,0,20
5,1045,4,2,7,7,28.0,54.0,46.0,35,0,0
6,122,4,5,1,3,26.0,52.0,35.0,12,10,13
7,467,4,4,2,4,25.0,50.0,64.0,9,0,10
8,1238,2,3,11,7,33.0,64.0,50.0,41,0,0
9,331,4,5,5,5,30.0,60.0,42.0,21,0,18
10,88,4,1,6,2,29.0,58.0,33.0,9,7,30
11,1123,3,2,8,6,27.0,54.0,28.0,13,0,40
12,872,3,5,4,3,31.0,62.0,48.0,14,15,12
13,131,4,3,2,7,25.0,50.0,65.0,36,0,0
14,770,1,2,7,5,32.0,62.0,41.0,24,0,22
15,344,1,4,3,6,26.0,52.0,31.0,14,0,41
16,806,4,1,9,3,31.0,62.0,49.0,10,13,14
17,386,1,2,8,7,33.0,64.0,34.0,38,0,0
18,1215,2,5,1,5,25.0,50.0,39.0,21,0,19
19,956,3,1,2,7,28.0,54.0,65.0,39,0,0
20,277,2,3,11,6,29.0,58.0,52.0,13,0,36
21,1184,3,5,5,4,30.0,60.0,44.0,10,0,9
22,460,1,3,9,3,34.0,65.0,53.0,12,14,12
23,22,1,4,10,6,35.0,68.0,33.0,11,0,37
24,253,4,1,5,7,28.0,54.0,37.0,36,0,0
25,748,1,2,7,4,33.0,64.0,39.0,13,0,10
26,857,1,5,4,5,26.0,52.0,44.0,23,0,20
27,475,4,4,2,2,30.0,60.0,63.0,9,9,29
28,1083,4,3,9,7,32.0,62.0,30.0,38,0,0
29,511,3,1,6,6,37.0,70.0,32.0,12,0,39
30,700,1,2,8,4,26.0,52.0,36.0,14,0,13
31,976,3,4,3,5,29.0,58.0,40.0,24,0,23
32,190,3,3,9,6,30.0,60.0,27.0,12,0,40
33,958,2,2,7,7,34.0,65.0,38.0,39,0,0
34,687,1,5,1,2,36.0,68.0,38.0,7,9,30
35,958,1,3,11,5,26.0,52.0,48.0,23,0,19
36,563,2,1,5,7,28.0,54.0,35.0,41,0,0
37,832,3,3,2,2,30.0,60.0,61.0,8,10,31
38,1154,1,2,7,6,37.0,70.0,37.0,12,0,41
39,647,3,4,3,3,25.0,50.0,26.0,15,14,11
40,21,2,5,5,6,29.0,58.0,34.0,15,0,37
41,841,4,2,8,4,27.0,54.0,30.0,13,0,13
42,167,3,3,9,2,30.0,60.0,58.0,10,7,32
43,388,1,4,10,5,32.0,62.0,34.0,22,0,24
44,601,4,1,9,7,34.0,65.0,60.0,35,0,0
45,316,3,5,1,6,35.0,67.0,42.0,10,0,35
46,14,3,3,11,2,38.0,70.0,48.0,8,8,28
47,242,4,1,6,4,26.0,52.0,32.0,12,0,8
48,777,4,2,7,5,29.0,58.0,43.0,24,0,18
49,565,4,4,3,7,30.0,60.0,29.0,41,0,0
50,898,1,5,4,2,33.0,64.0,51.0,5,9,29
51,92,1,4,10,5,34.0,65.0,31.0,23,0,21
52,956,3,1,6,4,36.0,68.0,33.0,13,0,14
53,509,3,2,8,7,28.0,54.0,38.0,40,0,0
54,776,2,5,1,6,30.0,60.0,47.0,12,0,42
55,35,1,4,2,3,31.0,62.0,63.0,11,12,15
56,206,3,1,5,5,27.0,53.0,43.0,23,0,24
57,1104,4,3,11,7,34.0,65.0,54.0,38,0,0
58,1026,4,5,5,4,29.0,58.0,37.0,8,0,15
59,1022,1,3,9,3,25.0,50.0,56.0,11,13,15
60,566,4,4,3,6,32.0,62.0,34.0,15,0,37
61,1129,2,2,7,7,28.0,54.0,41.0,36,0,0
62,703,3,3,11,4,30.0,60.0,49.0,13,0,9
63,402,3,1,2,5,34.0,65.0,64.0,24,0,20
64,730,3,5,1,1,28.0,54.0,47.0,5,18,15
65,162,1,1,6,7,27.0,53.0,35.0,37,0,0
66,202,4,4,2,6,36.0,68.0,62.0,15,0,40
67,996,2,1,9,4,34.0,65.0,57.0,9,0,13
68,270,1,3,9,2,29.0,58.0,55.0,8,8,33
69,816,3,2,8,1,25.0,50.0,40.0,6,19,16
70,456,2,5,5,4,30.0,60.0,38.0,10,0,14
71,1017,3,2,8,5,26.0,52.0,39.0,21,0,23
72,296,3,4,10,7,31.0,62.0,32.0,39,0,0
73,720,1,3,11,5,34.0,65.0,48.0,23,0,19
74,338,3,1,6,7,27.0,53.0,34.0,42,0,0
75,879,2,4,3,6,33.0,64.0,31.0,13,0,39
76,1077,3,2,7,2,29.0,58.0,42.0,9,10,22
77,792,4,5,4,5,30.0,60.0,47.0,22,0,21
78,217,3,3,9,4,27.0,53.0,59.0,10,0,15
79,764,1,2,8,1,26.0,52.0,36.0,7,16,20
80,188,2,4,2,6,34.0,65.0,63.0,14,0,38
81,380,1,2,7,2,28.0,54.0,43.0,10,8,29
82,493,4,5,5,7,30.0,60.0,40.0,41,0,0
83,1065,3,1,2,6,29.0,58.0,65.0,14,0,35
84,1180,1,3,9,4,26.0,52.0,59.0,11,0,9
85,15,1,5,1,5,31.0,62.0,44.0,21,0,28
86,65,1,2,8,2,35.0,67.0,28.0,8,7,31
87,521,1,4,10,1,29.0,58.0,30.0,13,17,16
88,1152,4,1,5,7,27.0,53.0,30.0,35,0,0
89,648,4,3,11,1,36.0,68.0,50.0,12,18,19
90,1086,3,3,2,6,29.0,58.0,61.0,11,0,38
91,1162,3,1,6,2,30.0,60.0,26.0,8,9,30
92,593,2,2,7,1,34.0,65.0,45.0,6,19,21
93,392,4,4,3,7,36.0,68.0,41.0,41,0,0
94,419,1,5,4,2,28.0,54.0,25.0,9,10,30
95,289,1,2,8,5,25.0,50.0,32.0,24,0,19
96,379,2,4,10,1,30.0,60.0,27.0,4,17,17
97,231,1,3,11,7,38.0,72.0,51.0,39,0,0
98,1018,2,5,5,6,36.0,60.0,43.0,15,0,41
99,41,3,1,9,4,29.0,58.0,57.0,12,0,10
100,1052,4,3,2,6,27.58,59.21,31.27,20,2,15
101,135,2,1,5,5,27.45,66.38,50.14,9,12,14
102,201,1,1,11,7,27.25,63.62,40.35,28,0,22
103,780,2,2,5,3,28.84,58.91,33.06,8,9,28
104,930,3,4,3,5,25.86,48.46,46.25,40,2,0
105,1057,1,2,2,5,25.59,63.6,46.33,11,0,11
106,1072,3,5,6,7,29.17,68.19,30.65,6,4,14
107,503,3,4,5,3,36.05,73.59,58.17,9,14,11
108,407,2,5,3,5,26.76,64.22,53.63,5,8,30
109,805,3,4,2,4,27.66,53.58,40.96,41,0,3
110,99,1,1,11,1,28.27,52.88,43.3,40,0,0
111,684,3,2,6,7,38.39,69.51,65.09,8,1,16
112,726,3,3,2,6,28.74,56.8,54.07,15,0,35
113,961,2,3,7,6,30.63,63.88,38.71,19,4,28
114,613,3,3,1,1,26.02,52.46,31.12,11,5,12
115,643,4,5,6,2,34.71,64.94,52.62,9,22,21
116,1029,2,1,6,3,23.71,51.25,30.5,11,0,8
117,1241,2,1,4,3,30.63,61.45,23.18,37,2,4
118,503,1,2,9,2,23.63,52.62,31.03,12,13,13
119,767,1,2,6,1,27.65,58.09,69.07,16,3,32
120,398,1,1,7,7,31.19,60.94,30.51,12,0,36
121,871,1,5,10,7,37.12,72.87,47.06,45,2,0
122,795,4,1,8,6,33.52,60.46,47.85,7,15,16
123,393,2,3,9,3,29.44,59.34,55.51,10,3,31
124,207,3,2,2,1,33.24,69.48,65.48,8,13,28
125,1039,1,3,10,7,20.85,53.18,43.77,2,20,19
126,892,1,3,9,6,38.42,73.97,50.41,11,1,36
127,864,1,5,4,2,29.04,71.09,21.12,34,0,3
128,743,3,4,9,7,23.59,55.82,62.92,39,0,0
129,564,1,1,8,5,38.56,73.46,30.62,11,0,32
130,1021,3,5,2,7,30.87,63.94,46.2,15,0,8
131,96,2,5,4,7,25.83,51.1,59.57,38,4,0
132,485,2,3,9,3,34.51,63.92,70.0,14,0,35
133,231,2,5,8,6,31.92,62.59,27.78,18,0,25
134,749,4,5,9,4,28.43,58.72,43.9,13,16,11
135,1194,3,5,8,5,27.53,55.04,57.07,4,0,14
136,541,1,4,7,4,24.53,67.4,48.49,8,9,18
137,1060,1,4,11,2,30.82,51.91,54.23,15,4,33
138,525,1,3,2,3,32.53,59.45,20.16,9,15,16
139,1183,1,5,2,4,28.17,58.69,34.11,12,8,33
140,1109,4,2,7,5,29.25,54.52,41.4,35,0,0
141,578,1,3,10,7,22.26,51.36,48.36,6,16,17
142,682,4,4,3,5,30.76,66.64,56.32,41,3,4
143,557,3,3,9,7,27.84,66.53,36.89,7,11,20
144,1013,2,4,11,2,29.21,64.21,54.95,7,11,31
145,646,1,3,8,5,26.01,59.52,35.75,11,13,15
146,796,2,4,2,1,29.5,55.42,51.17,23,0,23
147,1052,3,4,11,1,32.98,62.02,33.12,40,0,0
148,1254,3,3,1,7,24.24,59.04,50.07,38,0,1
149,190,1,2,11,4,33.54,59.28,52.09,21,3,20
150,1248,3,2,3,3,34.43,72.28,62.22,35,4,0
151,633,2,5,1,4,32.19,68.94,67.37,15,0,33
152,628,1,2,6,4,32.55,71.46,67.14,5,7,32
153,973,4,3,11,1,28.38,52.02,43.83,13,0,38
154,710,1,4,4,5,25.4,43.57,38.51,36,0,0
155,649,2,2,5,5,33.8,52.28,53.31,12,15,15
156,318,1,1,7,5,28.38,47.58,34.86,20,0,20
157,1248,1,1,6,3,28.37,59.8,35.35,23,2,16
158,1257,2,5,9,1,30.08,73.84,41.22,1,14,22
159,684,1,2,11,2,34.95,64.93,62.63,31,1,0
160,664,1,2,2,2,35.56,74.88,52.16,20,0,21
161,1256,2,5,6,6,24.05,52.76,58.9,7,1,7
162,1136,3,5,1,4,23.42,53.65,69.68,11,3,14
163,442,2,1,9,3,31.68,62.14,42.55,17,0,31
164,564,1,3,4,4,31.03,69.0,49.46,19,0,19
165,1136,4,3,4,6,31.78,44.27,45.07,5,8,32
166,952,4,5,3,5,22.3,60.64,40.78,39,0,2
167,1104,2,5,2,3,26.39,52.62,22.27,8,1,43
168,699,4,4,10,1,29.36,64.39,20.0,13,4,39
169,113,1,1,9,6,26.67,47.94,34.08,13,0,8
170,2,1,2,1,3,26.75,56.87,20.0,12,6,30
171,642,2,2,9,3,30.64,65.77,32.86,24,0,17
172,220,1,2,8,5,29.89,48.59,38.0,26,0,21
173,855,3,3,3,7,28.61,62.22,41.53,8,13,18
174,1248,1,4,9,3,37.09,63.72,47.99,39,2,0
175,385,2,3,4,1,21.78,55.6,33.66,37,3,0
176,1153,3,4,11,3,30.42,70.37,55.92,2,5,25
177,1077,3,5,8,1,35.39,52.28,42.97,10,17,12
178,730,4,1,6,7,30.53,52.17,41.92,3,15,15
179,247,1,3,3,4,28.09,56.62,36.14,10,0,34
180,836,2,1,7,5,22.95,55.86,31.58,16,3,22
181,203,4,5,10,3,32.06,75.56,55.73,18,1,38
182,1207,4,2,4,5,38.4,67.88,62.06,11,11,16
183,123,1,5,8,4,33.59,66.16,69.67,12,13,27
184,401,1,5,3,5,26.47,62.91,46.87,10,4,11
185,767,2,3,6,2,31.56,58.25,29.12,13,21,14
186,294,4,2,3,3,29.13,56.72,67.72,8,13,32
187,280,2,1,6,2,23.35,59.98,63.83,36,4,0
188,884,4,2,4,2,26.75,58.1,39.27,19,0,20
189,198,4,4,5,3,30.42,48.76,42.28,41,0,1
190,982,4,3,3,3,24.9,51.02,31.9,14,13,8
191,752,1,3,11,7,27.31,57.3,22.41,34,1,0
192,144,4,2,3,6,31.5,74.7,23.25,8,1,9
193,609,4,3,5,6,27.63,69.25,41.18,19,0,26
194,1224,4,1,4,2,22.59,45.7,33.13,38,0,4
195,1147,3,1,10,4,35.97,60.1,26.8,11,2,40
196,187,1,4,9,4,27.69,55.55,27.9,26,2,22
197,464,3,3,5,6,24.27,52.43,62.34,6,1,14
198,660,1,1,3,5,30.42,50.01,26.27,9,3,11
199,764,2,4,1,5,31.52,44.64,42.86,13,0,35
200,955,3,4,11,4,30.64,57.57,46.45,12,4,13
201,403,2,2,7,5,22.17,47.78,43.03,15,0,16
202,147,4,3,4,1,36.5,65.85,42.33,5,10,32
203,1171,2,1,4,5,35.13,65.69,37.76,8,4,6
204,864,2,1,3,6,24.82,53.75,47.97,6,14,10
205,489,2,5,6,7,31.24,55.88,37.05,6,0,9
206,929,2,3,2,1,29.77,46.18,63.79,5,3,14
207,551,1,2,6,3,25.86,46.65,32.67,35,0,0
208,338,3,2,2,7,30.15,60.77,42.93,44,0,0
209,872,1,2,3,5,29.46,59.4,49.1,10,0,12
210,641,1,1,2,1,29.37,64.45,64.66,38,0,0
211,473,1,4,6,5,23.63,58.75,35.6,19,0,18
212,151,2,5,5,5,32.45,60.24,55.92,10,5,31
213,263,1,4,7,2,37.34,63.39,25.36,15,4,39
214,144,3,3,2,3,30.41,67.24,65.58,3,8,34
215,346,1,5,1,2,31.9,55.45,59.87,12,0,37
216,624,4,2,2,3,35.85,52.79,54.13,16,13,16
217,1017,2,4,8,1,28.87,49.91,35.02,20,0,23
218,881,4,2,6,1,26.33,50.2,45.34,9,19,18
219,2,3,5,9,7,29.67,58.75,40.69,35,0,0
220,897,3,2,3,5,32.2,50.72,39.63,23,0,15
221,254,3,1,5,1,29.24,62.15,51.65,6,0,41
222,453,3,4,7,7,34.15,71.16,41.7,37,0,1
223,1061,1,4,1,6,31.56,55.15,56.8,9,0,35
224,1183,2,2,6,1,24.76,56.88,20.0,9,0,36
225,1015,3,4,1,2,34.15,63.96,47.64,11,0,14
226,9,4,5,11,5,30.7,57.71,38.36,9,4,18
227,1256,3,4,3,7,34.89,53.79,37.58,23,2,22
228,1122,2,5,2,3,26.7,63.42,24.65,13,1,42
229,816,4,1,3,6,23.75,61.43,52.94,37,0,0
230,208,4,4,2,4,25.73,52.9,46.14,21,0,18
231,1154,4,3,11,4,25.36,50.91,24.39,13,0,10
232,404,1,1,9,6,36.35,61.89,65.38,39,0,0
233,152,3,1,5,2,21.91,46.66,45.27,24,0,21
